metodo,tamanhovetor,tempo
shell,90000,196093.67
shell,5000,751.74
shell,10000,2931.76
shell,15000,5702.53
shell,40000,44633.46
shell,50000,62506.00
shell,55000,69336.75
shell,80000,178350.67
shell,95000,201865.60
shell,35000,29424.89
shell,115000,305269.75
shell,130000,425978.33
shell,135000,412217.00
shell,165000,596231.00
shell,30000,23123.45
shell,60000,94961.67
shell,120000,387442.33
shell,145000,473314.67
shell,155000,573625.50
shell,100000,259941.00
shell,110000,302783.75
shell,170000,717707.00
shell,180000,856952.00
shell,190000,893716.00
shell,25000,14652.05
shell,150000,567775.00
shell,160000,711245.50
shell,20000,11049.31
shell,195000,883891.00
shell,70000,121359.22
shell,105000,246611.80
shell,140000,508577.00
shell,200000,1071686.00
shell,45000,46717.28
shell,65000,96737.75
shell,75000,132256.50
shell,85000,155009.57
shell,125000,341587.00
shell,175000,694101.50
shell,185000,760082.00
quick,70000,5791.05
quick,105000,8799.26
quick,140000,12153.73
quick,200000,18099.04
quick,45000,3564.38
quick,65000,5298.23
quick,75000,6290.13
quick,85000,6961.85
quick,125000,10790.75
quick,175000,15540.42
quick,185000,16504.88
quick,90000,7384.33
quick,5000,318.62
quick,10000,675.52
quick,15000,1064.79
quick,40000,3109.90
quick,50000,3972.67
quick,55000,4421.90
quick,80000,6604.93
quick,95000,7895.89
quick,35000,2679.24
quick,115000,9751.86
quick,130000,11234.27
quick,135000,11800.51
quick,165000,14394.09
quick,30000,2288.61
quick,60000,4861.77
quick,120000,10203.71
quick,145000,12511.43
quick,155000,13538.91
quick,100000,8419.98
quick,110000,9389.03
quick,170000,15037.19
quick,180000,15764.88
quick,190000,16735.26
quick,25000,1901.69
quick,150000,12975.66
quick,160000,14231.81
quick,20000,1456.78
quick,195000,17111.25
merge,145000,22201.75
merge,155000,23469.27
merge,30000,3996.99
merge,60000,8421.06
merge,120000,17280.86
merge,180000,26652.58
merge,190000,28506.95
merge,100000,14290.83
merge,110000,15759.07
merge,170000,25645.04
merge,25000,3245.97
merge,150000,22351.63
merge,160000,23866.12
merge,20000,2549.92
merge,195000,29388.40
merge,70000,9902.18
merge,105000,15320.27
merge,140000,20982.51
merge,85000,12246.80
merge,125000,18444.45
merge,175000,26666.53
merge,185000,28315.64
merge,200000,30682.78
merge,45000,6224.36
merge,65000,9140.82
merge,75000,10868.36
merge,40000,5518.17
merge,50000,7069.15
merge,55000,7767.17
merge,80000,11677.89
merge,90000,13250.87
merge,5000,589.54
merge,10000,1239.00
merge,15000,1934.66
merge,95000,14037.38
merge,135000,20589.72
